Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Honduras,GDP (current US$),8140271080.5604,8772194250.27021,9672035709.39793,10841742347.7968,12275501784.2971,13789715132.502,14587496229.1811,15839344591.9842,17710315005.9999,18528506894.0586,18496438641.4768,19756494434.7031,20844284855.0025,21516938909.5686,0
"Hong Kong SAR, China",GDP (current US$),161384522525.299,169099768875.193,181570082162.19,193536265094.364,211597405593.868,219279678430.164,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309403880389.071,320914302646.157,0
Hungary,GDP (current US$),85324771841.4118,104066609517.928,113035361316.749,115295199391.606,139850794387.281,157998423131.739,130593960612.172,130922638689.071,140782064609.187,127856647107.82,135215704418.963,140118140454.711,122879042001.915,125816640420.569,0
IBRD only,GDP (current US$),6728237860877.42,8009679581710.35,9574863191621.96,11352987184252.7,14128955914663.9,16969030260876.9,16477638785512.6,19973945540448.7,23619352272048.5,25054597172918.9,26510181016987.1,27396611247619.6,25854305463828.1,25981476556760.5,0
Iceland,GDP (current US$),11304084266.5137,13703315349.2507,16691213479.471,17043245939.014,21295012098.9774,17640375722.4448,12887072301.1621,13254818331.1893,14674650434.6757,14218575093.024,15479256844.8708,17178962757.4324,16783714958.4498,20047413006.3471,0
IDA & IBRD total,GDP (current US$),7231716537197.51,8595676908613.7,10252563289337.4,12171329219107.2,15085802941075.8,18119451371651.3,17607503432796.2,21425535721688.5,25267940554152.8,26831458123531.8,28440718308132.7,29482467782135.6,27876686929740.8,27972819139754.5,0
IDA blend,GDP (current US$),210309399964.325,254107331006.866,298966157726.575,377892170694.759,432494229337.87,515331066665.508,479916707070.375,707233865359.817,810782537391.527,891826340277.914,969503885737.184,1052620067829.89,984508326729.442,923606013413.981,0
IDA only,GDP (current US$),293490957922.838,331890668943.604,378279875004.078,439667449381.062,522810471183.771,633846418352.25,652748933565.031,742077497033.099,831576507631.743,877952610254.43,955563577640.96,1030596428731.83,1039549171419.7,1072786488210.4,0
IDA total,GDP (current US$),503274924958.026,585635687953.13,676966114515.745,817667343182.622,955192703165.729,1148503307752.05,1128757219790.24,1455098670264.63,1649712795941.65,1779309786690.56,1935383621726.91,2094666160482.5,2032030985340.31,1999807711387.41,0
India,GDP (current US$),599592902016.212,699688852930.441,808901077222.092,920316529729.61,1201111768409.39,1186952757635.85,1323940295874.9,1656617073124.21,1823049927771.46,1827637859135.7,1856722121394.53,2035393459979.46,2089865410867.82,2263792499341.01,0
Indonesia,GDP (current US$),249968428761.572,273460989078.419,304371850794.764,388167833438.821,460192550124.261,543253873101.753,574505139225.44,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,861256351277.359,932259177765.307,0
"Iran, Islamic Rep.",GDP (current US$),153544751395.43,190043433964.841,226452138291.542,266298911661.144,349881601458.56,406070949553.875,414059094949.063,487069570463.768,583500357530.417,598853401276.104,467414852231.298,434474616831.914,385874474398.59,418976679728.567,0
